id,commodity,condition,model,log_loss,AUC,WAIC,roc_auc,k
VB,money,F,Exponential,0.37072720253933117,0.9820769482854721,30.653845143471802,0.9112782118055557,0.0012093640564618004
ZZ,money,F,Exponential,0.3643387272956574,0.05174700151759987,29.47746813129892,0.9122816840277779,0.6442402308017559
FD,food,F,Exponential,0.4352912505467078,0.24535062860338283,34.53242609587946,0.891109375,0.1333754842750077
VS,food,F,Exponential,0.46822240759980116,0.14841959229414928,36.86585713606317,0.8634886363636364,0.22432354097327697
JLN,money,F,Exponential,0.5254961980266115,0.5620695619595337,40.98527262803334,0.820898015873016,0.04296044739270787
EM,music,C,Exponential,0.45035801873075487,0.7846917118708205,35.394945617899204,0.8776597222222222,0.016874668417619625
BJ,music,F,Exponential,0.27566909206119816,0.7756931940250096,23.78218903504702,0.960201388888889,0.017716025106134695
LD,food,F,Exponential,0.3327514617417492,0.09520109253239095,27.49951928996545,0.940150974025974,0.3501393654860598
AT,money,F,Exponential,0.48876649981723896,0.2922056565123757,37.61103799116697,0.8272077759197325,0.10984872537648423
GW,food,C,Exponential,0.6695825563845984,0.79498325359847,52.10923136725927,0.5744903846153846,0.015928728673256978
MK,music,F,Exponential,0.41579592732587395,0.8578086224376437,32.941581341023706,0.890511904761905,0.010500369368083174
JD,money,C,Exponential,0.3983665892626841,0.81620933586796,31.770207770762738,0.9175156746031748,0.014030368726524025
AF,food,F,Exponential,0.6360098241140997,0.04234524780888988,47.445514911779355,0.5809548611111109,0.7873269972939458
LG,music,F,Exponential,0.3941141635507197,0.5020534942375767,32.156502520716586,0.9152231867283949,0.052754518648178345
RV,money,C,Exponential,0.3270581193837591,0.8092538235500333,26.018104288106414,0.9344679687499998,0.014644833077911642
ND,food,F,Exponential,0.49029499449190383,0.038673547457923216,37.39049666500454,0.8298875868055556,0.8621085294844181
MH,food,C,Exponential,0.4585501114810863,0.4595728539169257,37.10554542397248,0.8734599609374999,0.060840352830901105
VB,music,F,Exponential,0.3977515326946972,0.14800300524485221,31.676629820134895,0.9099140866873068,0.2249600585226678
