id,commodity,condition,model,log_loss,AUC,WAIC,roc_auc,logk
CM,food,F,Hyperbolic,0.4044565337226601,0.17792013535484535,31.528481135396277,0.8871024247491639,-0.6356903464493928
VB,money,F,Hyperbolic,0.3709569047803642,0.9781139870957987,30.865689846091836,0.9130275607638889,-6.500452354629796
ZZ,money,F,Hyperbolic,0.3717050376580536,0.11971000563205289,30.081868366499076,0.9123287760416665,-0.06245155494110749
FD,food,F,Hyperbolic,0.4287890122492646,0.33930308540284604,34.157793243198356,0.8974085937499999,-1.6909407233230749
VS,food,F,Hyperbolic,0.42656072979201376,0.2833538830536002,33.370459236567534,0.8758745941558442,-1.3743959546894984
JLN,money,F,Hyperbolic,0.5774047235027926,0.5811200643354628,44.365362319318585,0.7791388888888889,-2.855869695802005
EM,music,C,Hyperbolic,0.4083973945822152,0.7439470220299942,32.055618316717,0.8932669753086421,-3.6762770038847834
BJ,music,F,Hyperbolic,0.32268078600767713,0.7458562375156297,25.707299681487527,0.9438043650793652,-3.687172701865974
LD,food,F,Hyperbolic,0.37211483109543875,0.18275938053301857,30.32988221340094,0.9194338474025976,-0.676028518051306
AT,money,F,Hyperbolic,0.5173359808641469,0.37069472437134005,39.74825817040353,0.8136617892976588,-1.8555907837124315
GW,food,C,Hyperbolic,0.6516726207420172,0.9045584652047671,49.7584279618516,0.5708807692307694,-4.923556607530674
MK,music,F,Hyperbolic,0.39936408813137486,0.8223907340576019,31.787278457605478,0.9030904761904764,-4.175569681752875
JD,money,C,Hyperbolic,0.3589496956821471,0.7757173054841564,29.524858409526143,0.9312303571428572,-3.864426437374628
AF,food,F,Hyperbolic,0.4736195619185187,0.017957195866021673,36.89717445103425,0.6512979166666667,2.379453930316381
LG,music,F,Hyperbolic,0.38651775848403497,0.5305571446885688,31.040981408206715,0.8999266975308642,-2.6213038028899063
RV,money,C,Hyperbolic,0.3196268519754142,0.7670624026266564,25.733186002587498,0.9343835937499998,-3.81162363773982
ND,food,F,Hyperbolic,0.44482597074115415,0.07603138517384,34.43426562256387,0.8551992187499999,0.5559356071813673
MH,food,C,Hyperbolic,0.4353553720605424,0.5117383307829537,34.6110311079505,0.8810984375,-2.534213273548063
VB,music,F,Hyperbolic,0.4438667962972584,0.24258343623260917,34.70987879599497,0.8795549535603718,-1.1172790408550415
YVH,food,F,Hyperbolic,0.14735505514707015,0.0016758302463775775,11.996586502319945,0.3498142857142857,5.8049974952198165
YVH,music,F,Hyperbolic,0.2963542664807756,0.001698689954522338,24.12022444956382,0.5265670955882353,5.771243175377963
JB,food,F,Hyperbolic,0.3761443448084757,0.020443870531827488,29.726659980167163,0.9106240384615384,2.2205751386621206
CF,food,F,Hyperbolic,0.4298952241085574,0.2251307919786117,33.423075983825406,0.88159364548495,-0.9978698331351403
LG,food,F,Hyperbolic,0.3658413904363193,0.3651985456269713,28.653532945954467,0.9167433593750001,-1.8272971446101747
JDA,food,C,Hyperbolic,0.7630141162633385,0.4915712929530594,50.20605321365679,0.5169310897435897,-2.4405829982379164
VB,money,C,Hyperbolic,0.30039246365517025,0.9825656088625079,24.881195949911636,0.9515294237012987,-6.733909848402091
DCRD,music,C,Hyperbolic,0.08546764778786203,0.9834216451937324,8.394227015668003,0.9958019230769227,-6.78541781214443
PF,food,F,Hyperbolic,0.3865905933564663,0.9390147993583284,30.886412210165247,0.906257142857143,-5.421277786840998
ER,money,F,Hyperbolic,0.4087494495644578,0.5432741628925355,33.171317319759076,0.8882159442724457,-2.680127931109593
JLN,money,C,Hyperbolic,0.4114580560134269,0.4731244714842896,32.46458852077775,0.8963328173374611,-2.3544197594929113
DN,money,F,Hyperbolic,,0.9990451348654579,1.9788767120193833,,-9.660716884637841
JLN,music,F,Hyperbolic,0.38375272799937765,0.37521415607359604,30.217994618146427,0.9093726562500002,-1.8787027325026402
CV,money,F,Hyperbolic,0.12298207723054594,0.9905708779770388,11.406809460790614,0.9898805288461537,-7.359370665164258
CV,music,F,Hyperbolic,0.16561870288637195,0.9905691235871608,15.112997732116341,0.9847965909090907,-7.359182260227863
AT,music,F,Hyperbolic,0.28347389675588575,0.06296425484312412,22.81266599583961,0.9470836363636362,0.8042384456374091
DG,music,F,Hyperbolic,0.3182335389270183,0.41606972377708024,25.57016317275681,0.9386855468750003,-2.0821888989392985
CL,money,C,Hyperbolic,0.3844152411053261,0.8850966356790313,30.250043411291944,0.9034477424749167,-4.708986489243191
LG,food,C,Hyperbolic,0.3966492334389472,0.6701732153049218,32.045859505253844,0.8995176083591331,-3.2841843226370284
VS,food,C,Hyperbolic,0.4168996836686746,0.362886431943279,32.40244774620088,0.8826353174603178,-1.815331296133624
