id,commodity,condition,model,log_loss,AUC,WAIC,roc_auc,logk,s
AK,money,F,ModifiedRachlin,0.3036127757632857,0.521877547758232,27.65820165523638,0.9456587577160495,-2.726036282167309,0.28337028338315
DD,money,C,ModifiedRachlin,0.33490007956579837,0.9334978539699692,29.39757078515111,0.9257597402597403,-5.354685478337698,0.9887891748482699
JL,money,C,ModifiedRachlin,0.2977052737144791,0.9415643236393223,27.60165892891293,0.9303349999999998,-7.570719177105023,0.5581634755089422
JB,money,F,ModifiedRachlin,0.16726667633816777,0.978979335387316,15.250252810824149,0.9823447115384614,-8.366927818553927,0.6694731271998584
EM,money,C,ModifiedRachlin,0.01936117712936642,0.9975029483234311,2.8428067502801757,1.0,-8.626705203379782,1.0123414904533499
VB,food,C,ModifiedRachlin,0.6127298721937798,0.8308614533254235,46.32155225023333,0.676094135802469,-5.451546519991655,0.5498467448775485
DD,music,F,ModifiedRachlin,0.39755210914315886,0.6964683298442994,33.74092326776907,0.9137361328124999,-3.4063141685496348,1.0180782203081113
DG,money,C,ModifiedRachlin,0.40144477700354964,0.5697126318968979,34.944224820129534,0.9144959365325077,-2.844350772915426,0.8151866126524887
SP,money,C,ModifiedRachlin,0.5013505164163807,0.461125717691111,38.773903268309,0.833364448051948,-1.869568907196269,0.2930834947400146
SP,music,C,ModifiedRachlin,0.45624308914807155,0.31195797687022603,35.65247972619464,0.8534424603174605,-1.3928448315845459,0.8419382680816598
JB,music,C,ModifiedRachlin,0.31935361170958076,0.011012591324064808,26.42588725662025,0.9338235677083333,1.9335828964810413,1.4993522330568654
GA,music,C,ModifiedRachlin,0.26311429209073567,0.6172872049770708,23.391467925996313,0.9639140866873063,-3.1061796175675327,0.8218369196724459
SD,music,C,ModifiedRachlin,0.41278405108785265,0.6861931659725953,33.05125804989488,0.8915113636363637,-4.440550827731014,0.39919764220553533
EM,music,F,ModifiedRachlin,0.3517370331147792,0.6764426318388664,29.667738692352412,0.9246318359375,-3.6194611404574157,0.675684594387862
AK,food,C,ModifiedRachlin,0.5169804842293678,0.7506330301116764,40.27501678176557,0.8245824303405572,-3.6897282910121447,1.027165718227131
AD,music,F,ModifiedRachlin,0.35918318602536037,0.3986269277972484,34.665026233149256,0.9234413296568628,-1.7024251044285714,0.5984756898398309
KM,food,F,ModifiedRachlin,0.5279936735494457,0.20904128796649507,40.71523751879461,0.7897669270833334,-0.736198223878027,0.8952375942367778
