id,commodity,condition,model,log_loss,AUC,WAIC,roc_auc,logk,s
VB,money,F,Hyperboloid,0.36674489445555336,0.9355866233586347,30.561226916920685,0.9159572482638888,-4.527098003147734,0.457502197786123
ZZ,money,F,Hyperboloid,0.371065175570205,0.08480456162784046,30.161547589782675,0.9115553385416665,-0.19184992167757509,1.2915557871638976
FD,food,F,Hyperboloid,0.42736331993456883,0.28536164376042356,33.90990268508877,0.8989027343749998,-1.4930687095417434,1.0612215318414269
VS,food,F,Hyperboloid,0.40023960793941254,0.24698972214059875,31.21287706295572,0.8940223214285713,-0.19059545324703983,0.6441163194711632
JLN,money,F,Hyperboloid,0.5668578663362671,0.5516267330785454,43.62499678946706,0.7867392857142859,-3.242774659590933,1.4850969426253828
EM,music,C,Hyperboloid,0.38743115910852705,0.6263558322190708,31.452939561545126,0.9030403163580247,-2.267232964651959,0.5682604413198384
BJ,music,F,Hyperboloid,0.3061375722053345,0.7397824019530643,24.738609455100356,0.9429452380952382,-4.15789476229235,1.5442947776239753
LD,food,F,Hyperboloid,0.3622720841666857,0.13760739464036684,29.537832350906385,0.9265957792207792,-1.1878769946184558,1.5939130482026753
AT,money,F,Hyperboloid,0.5137976492202876,0.32701797631231483,39.48598440524638,0.8103612040133781,-2.192850359720936,1.4224972002475207
GW,food,C,Hyperboloid,0.6471050115091828,0.8541098717718947,49.44475618674019,0.5602927884615385,-3.896153681886452,0.6284906666803983
MK,music,F,Hyperboloid,0.39559707784098963,0.7344911115985968,32.00035146275908,0.908952777777778,-3.1513118088980616,0.6856361316158052
JD,money,C,Hyperboloid,0.34646668989940604,0.693567203247111,28.647738220561358,0.9321103174603176,-2.9003690402017055,0.6786885956889805
AF,food,F,Hyperboloid,0.4681154615533527,0.007656830535356214,36.53673202848396,0.6621631944444446,2.184935086042368,1.459762264577791
LG,music,F,Hyperboloid,0.3897116298791815,0.48206862867023126,31.457525461043414,0.901550925925926,-2.5438072511709504,1.1064514099270295
RV,money,C,Hyperboloid,0.32259071187506694,0.7138640965844347,26.25137054385154,0.9360734374999998,-3.4115762814086787,0.9231077613905634
ND,food,F,Hyperboloid,0.434619981988421,0.0613467211320546,33.66155236915085,0.8723927951388888,1.129408613847737,0.9040708920662328
MH,food,C,Hyperboloid,0.43672034981465613,0.44871766346767117,34.82318020317694,0.8807546875000001,-2.2786440154854692,1.0262169962829486
VB,music,F,Hyperboloid,0.4347233792940922,0.1940941171115669,34.20817028314336,0.8824748452012383,-1.583613398669765,1.5574619918230086
YVH,food,F,Hyperboloid,0.14310710112452435,0.0010737336758692814,11.493126042358075,0.3480375,4.435746918162044,2.135252929530682
YVH,music,F,Hyperboloid,0.27947929402287464,0.0010556011252416955,21.946066746617223,0.514153492647059,4.589175617358801,2.135758335956026
